Key.down,1737480513.7305367
Key.down,1737480514.151322
z,1737480514.5669725
z,1737480515.599474
z,1737480519.655759
z,1737480520.1265275
z,1737480521
z,1737480521.2513745
z,1737480521.7280765
z,1737480522.2355816
z,1737480525.9943645
z,1737480526.556205
z,1737480527.1028519
z,1737480530.504784
z,1737480531.0522404
z,1737480531.723949
z,1737480532
Key.right,1737480535.7514951
Key.right,1737480536.2427824
z,1737480536.7125115
z,1737480539.3436713
z,1737480539.8766143
Key.right,1737480541.835082
z,1737480542.5071657
z,1737480543.0703018
z,1737480545.2571507
z,1737480549.660532
z,1737480550.2223308
z,1737480550.7363634
z,1737480551.2783005
z,1737480551.8004835
z,1737480552.2882364
z,1737480555.9662015
z,1737480556.5075083
z,1737480557.1002321
z,1737480559.6241794
z,1737480560.1714888
z,1737480560.7917888
z,1737480561.3713365
Key.right,1737480564.4246724
Key.right,1737480564.9728966
Key.right,1737480565.5194135
Key.right,1737480566.0775473
Key.right,1737480566.7011435
z,1737480567.2544754
z,1737480571.1696348
Key.home,1737480579.6586654
Key.down,1737480581.7438846
Key.down,1737480582.346769
z,1737480582.9551373
Key.down,1737480583.9632633
z,1737480584.5743442
Key.esc,1737480589.2001555
Key.up,1737480589.8019905
Key.up,1737480590.356424
z,1737480591.0450578
